STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02741V03309,Sub Sector,UNIT,VALUE,Country
EHQ10C01,Employment,20081,2008Q1,01,Civil service,Number,41700.0,Ireland
EHQ10C01,Employment,20081,2008Q1,02,Defence,Number,11200.0,Ireland
EHQ10C01,Employment,20081,2008Q1,03,Garda Siochana,Number,14900.0,Ireland
EHQ10C01,Employment,20081,2008Q1,04,Education,Number,116100.0,Ireland
EHQ10C01,Employment,20081,2008Q1,05,Regional bodies,Number,38900.0,Ireland
EHQ10C01,Employment,20081,2008Q1,06,Health,Number,137800.0,Ireland
EHQ10C01,Employment,20081,2008Q1,07,Semi-State companies,Number,56400.0,Ireland
EHQ10C01,Employment,20081,2008Q1,09,Commercial Semi-State companies,Number,44900.0,Ireland
EHQ10C01,Employment,20081,2008Q1,10,Non commercial Semi-State companies,Number,11500.0,Ireland
EHQ10C01,Employment,20081,2008Q1,-,Total Public Sector including Semi State bodies,Number,417000.0,Ireland
EHQ10C01,Employment,20081,2008Q1,08,Total Public Sector excluding Semi State bodies,Number,360600.0,Ireland
EHQ10C01,Employment,20082,2008Q2,01,Civil service,Number,42700.0,Ireland
EHQ10C01,Employment,20082,2008Q2,02,Defence,Number,11100.0,Ireland
EHQ10C01,Employment,20082,2008Q2,03,Garda Siochana,Number,15100.0,Ireland
EHQ10C01,Employment,20082,2008Q2,04,Education,Number,117400.0,Ireland
EHQ10C01,Employment,20082,2008Q2,05,Regional bodies,Number,40100.0,Ireland
EHQ10C01,Employment,20082,2008Q2,06,Health,Number,138000.0,Ireland
EHQ10C01,Employment,20082,2008Q2,07,Semi-State companies,Number,56900.0,Ireland
EHQ10C01,Employment,20082,2008Q2,09,Commercial Semi-State companies,Number,45100.0,Ireland
EHQ10C01,Employment,20082,2008Q2,10,Non commercial Semi-State companies,Number,11800.0,Ireland
EHQ10C01,Employment,20082,2008Q2,-,Total Public Sector including Semi State bodies,Number,421400.0,Ireland
EHQ10C01,Employment,20082,2008Q2,08,Total Public Sector excluding Semi State bodies,Number,364500.0,Ireland
EHQ10C01,Employment,20083,2008Q3,01,Civil service,Number,43000.0,Ireland
EHQ10C01,Employment,20083,2008Q3,02,Defence,Number,11200.0,Ireland
